filing_uuid,filing_year,filing_period,registrant_name,client_name,client_country,client_ppb_country,foreign_entity_name,foreign_entity_country,foreign_entity_ppb,income,url
bdb0314c-473b-41b1-b442-e0f20a312819,2023,second_quarter,AKIN GUMP STRAUSS HAUER & FELD,SHEIN TECHNOLOGY LLC,US,US,YANGTIAN XU,SG,SG,90000.0,https://lda.senate.gov/api/v1/filings/bdb0314c-473b-41b1-b442-e0f20a312819/?format=json
bdb0314c-473b-41b1-b442-e0f20a312819,2023,second_quarter,AKIN GUMP STRAUSS HAUER & FELD,SHEIN TECHNOLOGY LLC,US,US,BEAUTY OF FASHION INVESTMENT CO. LTD.,VG,VG,90000.0,https://lda.senate.gov/api/v1/filings/bdb0314c-473b-41b1-b442-e0f20a312819/?format=json
99d71e65-18ed-4583-85a4-e976a07f7589,2023,second_quarter,AKIN GUMP STRAUSS HAUER & FELD,SHEIN TECHNOLOGY LLC,US,US,BEAUTY OF FASHION INVESTMENT CO. LTD.,VG,VG,90000.0,https://lda.senate.gov/api/v1/filings/99d71e65-18ed-4583-85a4-e976a07f7589/?format=json
a4411100-2eef-4903-9950-850271612499,2025,first_quarter,AKIN GUMP STRAUSS HAUER & FELD,"ANT GROUP CO., LTD.",CN,CN,HANGZHOU JUNHAN EQUITY INVESTMENT PARTNERSHIP,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/a4411100-2eef-4903-9950-850271612499/?format=json
5a0707f3-7dc0-482d-8247-88b1bed0c092,2025,third_quarter,BRACEWELL LLP,TELE-FONIKA CABLE AMERICAS CORPORATION,PL,PL,TELE-FONIKA CABLE AMERICAS CORPORATION,PL,PL,90000.0,https://lda.senate.gov/api/v1/filings/5a0707f3-7dc0-482d-8247-88b1bed0c092/?format=json
a4411100-2eef-4903-9950-850271612499,2025,first_quarter,AKIN GUMP STRAUSS HAUER & FELD,"ANT GROUP CO., LTD.",CN,CN,"TAOBAO (CHINA) SOFTWARE CO., LTD.",CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/a4411100-2eef-4903-9950-850271612499/?format=json
4e56f063-9d60-4383-a3d2-14f8d737cece,2024,second_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","ZHEJIANG GEELY HOLDING GROUP CO., LTD.",CN,US,YANG JIAN,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/4e56f063-9d60-4383-a3d2-14f8d737cece/?format=json
f0e97ab8-0f79-43c0-a74e-4c520c7b285b,2022,second_quarter,"WILLIAMS AND JENSEN, PLLC",BUHLER QUALITY YARNS CORPORATION,US,US,"SAMIL SPINNING CO.,LTD",KR,KR,90000.0,https://lda.senate.gov/api/v1/filings/f0e97ab8-0f79-43c0-a74e-4c520c7b285b/?format=json
4e56f063-9d60-4383-a3d2-14f8d737cece,2024,second_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","ZHEJIANG GEELY HOLDING GROUP CO., LTD.",CN,US,LI DONGHUI,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/4e56f063-9d60-4383-a3d2-14f8d737cece/?format=json
4e56f063-9d60-4383-a3d2-14f8d737cece,2024,second_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","ZHEJIANG GEELY HOLDING GROUP CO., LTD.",CN,US,WANG XINGUI,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/4e56f063-9d60-4383-a3d2-14f8d737cece/?format=json
